27.1,8.54,90,50.46,9.71,7.13,13.7,50.33,0.55,0.038
42.8,8.56,89.9,79.72,9.8,7.08,18,67.25,0.65,0.045
73.9,8.56,89.4,137.7,9.97,7,22.5,86.6,1.23,0.084
101.6,8.56,89,190,10.11,6.93,26,102,1.94,0.1332
111.9,8.56,89,209.4,10.3,6.84,29,120.8,2.72,0.186
224.4,8.56,89,420,10.62,6.71,34,143.8,3.1,0.21
414,8.51,88,784,10.89,6.59,38,164.5,3.75,0.26
595,8.48,86.8,1133,11.11,6.5,41,180.3,4.24,0.29
847,8.39,85.2,1631,11.43,6.36,43.5,202.5,5,0.34
1054,8.3,83,2056,12.41,5.9,52,271.6,5.49,0.37
1379,8.13,80,2750,12.86,5.65,55.1,307.9,6.48,0.44
1877,7.78,75.5,3988,13.95,4.99,62.7,408.1,7.31,0.5
2113,7.56,73.2,4689,14.75,4.41,67,508.6,7.98,0.54
2465,7.17,69.5,5880,15.31,3.91,71,608,8.7,0.59
2590,7.02,67.5,6374,15.72,3.52,73,705,10.6,0.71
2770,6.78,65.4,7225,16.26,2.92,76.6,890,,
3000,6.43,61.5,8470,16.61,2.45,79,1094,,
3140,6.19,58.2,9550,16.71,2.32,79.7,1158,,
3260,5.99,56,10564,16.96,1.95,81.2,1405,,
3350,5.82,54,11422,17.16,1.57,83.2,1771,,
3430,5.64,51.5,12480,17.44,0.968,86,2894,,
3510,5.49,49.5,13555,17.49,0.758,87,3728,,
3580,5.3,47,14826,17.51,0.61,87.5,4649,,
3600,5.25,46,15340,17.53,0.366,88,7750,,
3650,5.13,44,16680,17.54,0.256,88,11032,,
3710,4.94,41,18520,,,,,,
3735,4.89,40,19350,,,,,,
3760,4.81,38,20630,,,,,,
3820,4.67,34.5,23330,,,,,,
3880,4.47,29.5,28635,,,,,,
3970,4.23,21,42613,,,,,,
4020,4.11,14,64162,,,,,,
4030,4.07,10,86300,,,,,,
4050,4.05,6.5,145985,,,,,,
4060,4.05,4.2,210574,,,,,,
4060,4,0,898543,,,,,,
